Task,Execution Time,Memory Usage,Book,nbCharacter
Egrep,543,157,10450.txt,100699
EgrepLike,6759,2304,10451.txt,1177038
KMP,3389,2048,10451.txt,1177038
Egrep,746,165,10451.txt,1177038
EgrepLike,2884,981,10452.txt,471114
KMP,1765,979,10452.txt,471114
Egrep,632,165,10452.txt,471114
EgrepLike,5111,1751,10453.txt,877452
KMP,2496,1638,10453.txt,877452
Egrep,572,147,10453.txt,877452
EgrepLike,2235,890,10454.txt,393122
KMP,1208,749,10454.txt,393122
Egrep,577,152,10454.txt,393122
EgrepLike,3471,1190,10455.txt,620229
KMP,1640,1211,10455.txt,620229
Egrep,611,154,10455.txt,620229
EgrepLike,2986,1090,10456.txt,516312
KMP,1553,958,10456.txt,516312
Egrep,564,161,10456.txt,516312
EgrepLike,531,317,10457.txt,86486
KMP,261,317,10457.txt,86486
Egrep,781,161,10457.txt,86486
EgrepLike,934,424,10458.txt,164457
KMP,427,424,10458.txt,164457
Egrep,633,143,10458.txt,164457
EgrepLike,1306,557,10459.txt,231318
KMP,582,534,10459.txt,231318
Egrep,563,136,10459.txt,231318
EgrepLike,977,520,10460.txt,163515
KMP,467,370,10460.txt,163515
Egrep,559,125,10460.txt,163515
EgrepLike,4592,1609,10461.txt,815158
KMP,2288,1617,10461.txt,815158
Egrep,578,158,10461.txt,815158
EgrepLike,1201,588,10463.txt,208622
KMP,535,406,10463.txt,208622
Egrep,606,138,10463.txt,208622
EgrepLike,841,406,10464.txt,148971
KMP,395,406,10464.txt,148971
Egrep,598,138,10464.txt,148971
EgrepLike,1461,714,10465.txt,249694
KMP,661,572,10465.txt,249694
Egrep,797,145,10465.txt,249694
EgrepLike,1008,530,10466.txt,171406
KMP,442,398,10466.txt,171406
Egrep,609,135,10466.txt,171406
EgrepLike,1357,547,10548.txt,236277
KMP,682,539,10548.txt,236277
Egrep,659,137,10548.txt,236277
EgrepLike,4296,1483,10549.txt,741458
KMP,2062,1413,10549.txt,741458
